Words to Learn

Learned Words

The Rest
der, die, das; тот, та, то, те
und; и
sein; быть
in, im; в, внутри, в течение
ein; неопределенный артикль, один из
zu; к, на, слишком, чтобы
haben; иметь
ich; я
werden; становиться, стать
sie, Sie; она, они, Вы
von; от, о, из
nicht, nicht nur, sondern auch; не, не только, но и
mit; с, вместе с
es; это, оно
sich; себя, себе
auch; также, тоже
auf; на, в, при
für; для, за
an, am; у, на, в, (в течение)
er; он
so; так, таким образом, такой
dass; что, чтобы
können; мочь, уметь
dies; этот, эта, это
als; как, когда, чем
ihr, Ihr; вы, её, их, Ваш
ja; да, конечно, действительно
wie; как, каким образом
bei; у, при, во время
oder; или
wir; мы
aber; но, однако
dann; тогда, затем
man; человек, люди (неопределенно-личное местоимение)
da; там, тут, поскольку
sein; его, её (притяжательное местоимение)
noch, noch gar nicht; ещё, до сих пор, вовсе не
nach, nach wie vor, nach und nach; после, по-прежнему, постепенно
was, so was; что, нечто подобное
also; итак, следовательно
aus; из, снаружи, от
all, vor allem; все, прежде всего
wenn; если, когда
nur; только, лишь
müssen; должен, должна, должны, вынужден
sagen; говорить, сказать
um; вокруг, около, чтобы
über; над, о, про
machen; делать, создавать
kein; нет, никакой
das Jahr; год
du; ты
mein; мой, моя, моё, мои
schon; уже, ведь
vor, vor sich hin; перед, впереди, про себя
durch; через, сквозь, по
geben; давать, дать
mehr, mehr als; больше, более чем
mehr oder weniger; более или менее
andere; другой, другие
unter anderem; среди прочего
viel; много, многие
kommen; приходить, прибывать
jetzt; сейчас, теперь
sollen; должен, следует (долженствование)
mir; мне
wollen; хотеть, желать
ganz; целый, весь, совсем
mich; меня
immer; всегда, постоянно
gehen; идти, ходить
sehr; очень, весьма
hier; здесь, тут
doch; однако, всё же, ведь
bis; до, пока, даже
groß; большой, великий, высокий
wieder; снова, опять
das Mal; раз, случай
zwei; два
gut; хороший, хорошо
wissen; знать, ведать
neu; новый, свежий
sehen; видеть, смотреть
lassen; позволять, оставлять, заставлять
uns; нас, нам
weil; потому что, так как
unter; под, среди
denn; потому что, ведь
stehen; стоять, находиться
jede; каждый, всякий
das Beispiel; пример, образец
die Zeit; время, период
erste; первый, первая, первое
ihm; ему
ihn; его (винительный падеж)
wo; где, куда
lang; длинный, долгий
eigentlich; собственно, на самом деле
damit; с этим, чтобы
selbst, selber; сам, сама, само
unser; наш, наша, наше
oben; наверху, сверху
drei; три
wenig; мало, немного
die Frau; женщина, жена
der Mensch; человек, личность
deutsch; немецкий, по-немецки
das Kind; ребёнок, дитя
etwas; что-то, немного
der Tag; день, сутки
nun; теперь, итак
finden; находить, обнаруживать
nichts; ничего, ничто
bleiben; оставаться, пребывать
sondern; а, но (после отрицания)
klein; маленький, небольшой
zwischen; между, среди
alt; старый, пожилой
gegen; против, около
liegen; лежать, находиться
ohne; без
nein; нет
heute; сегодня, в наши дни
weit; далеко, далекий
heißen; называться, значить
denken; думать, полагать
eben; как раз, именно
erst; только, лишь, сперва
natürlich; конечно, естественно
ob; ли, если
hoch; высокий, высоко
beide; оба, обе
der Mann; мужчина, муж
einfach; простой, просто
vielleicht; возможно, может быть
dort; там, туда
dabei; при этом, одновременно
einmal; однажды, один раз
ihnen; им
welch; какой, который
nehmen; брать, взять
tun; делать, совершать
seit; с, с тех пор
dürfen; мочь, иметь разрешение
glauben; верить, полагать
halten; держать, удерживать
nennen; называть, именовать
das Land; страна, земля
