Words to Learn

Learned Words

The Rest
la mano;the hand
la página;the page
el parque;the park
el libro;the book
la casa;the house
la ciudad;the city
la escuela;the school
el problema;the problem
el avión;the airplane
el trabajo;the job, the work, the effort
la clase;the kind, the class, the order, the lesson
la mujer;the woman, the wife
tal;such a, such, so
el abuelo;the grandfather
el idioma;the language
la chica;the girl
la vida;the life
el coche;the car
la maestra;the female teacher
el hombre;the man, the person, the husband
el novio;the boyfriend
grande;large, great, big
pequeño;little, small, young
alegre;happy, lively, cheerful
triste;sad, unhappy
hermoso;beautiful
feo;ugly, nasty, rude
rico;rich, tasty
pobre;poor
bueno;good, well
malo;bad
caro;expensive, dear
barato;inexpensive, cheap
joven;young
viejo;old, aged
nuevo;new
divertido;funny, amusing
aburrido;boring
difícil;difficult, hard
fácil;easy
tonto;stupid, dumb
inteligente;smart
la cosa;the thing
el sistema;the system
el mapa;the map
el café;the coffee
el espíritu;the spirit
el dolor;the pain, the ache, the sorrow
el mes;the month
ruso;Russian
español;Spanish
francés;French
bonito;pretty
interesante;interesting
bello;beautiful
el, la;the
de;of, from
que;that, which
y;and
en;in, on
un, una;a, an
ser;to be
a;to, at
él;he
no;no
su;his, her, their, your
con;with
por;by, for, through
para;for, to, in order to
tener;to have
como;like, as
estar;to be
más;more
este;this
hacer;to do, make
yo;I
o;or
pero;but, yet, except
decir;to tell, say
poder;to be able to, can
ir;to go
ese;that
si;if, whether
mi;my
ver;to see
ya;already, still
porque;because
mucho;much, many, a lot
dar;to give
muy;very, really
saber;to know, find out
año;year
también;also
qué;what?, which?, how
alguno;some, a few
nos;us
sin;without
mismo;same
eso;that
cuando;when
querer;to want, love
vez;time (specific occurrence)
la universidad;the university
hasta;until, up to, even
sobre;on top of, over, about
entre;between, among
dos;two
día;day
así;like that
pasar;to pass, spend (time)
desde;from, since
deber;should, ought to, to owe
creer;to believe, think
ella;she
donde;where
pues;then, well then
entonces;so, then
dejar;to let, leave, quit
llegar;to arrive
nada;nothing, (not) at all
poco;little, few, a little bit
nuestro;our
parecer;to seem, look like
bien;well, good
hablar;to speak, talk
ni;not even, neither, nor
poner;to put, get
tiempo;time (general)
ahora;now
eh;eh
primero;first
cada;each, every
siempre;always, forever
persona;person
seguir;to follow, keep on
esto;this
volver;to return
quedar;to remain, stay
llevar;to take, carry
encontrar;to find
salir;to leave, go out
después;after
mejor;best, better
tan;such, as, too, so
menos;less, fewer
pensar;to think
venir;to come
casa;house
forma;form, shape, way
la dirección;the direction, the address
momento;moment, time
llamar;to call, name
mundo;world
claro;clear, of course
mirar;to look, watch
medios;means, resources
mientras;while, whereas, as long as
conocer;to know (someone or place)
aquel;that (over there)
aquí;here
aunque;although, even though
quien;who, whom
tomar;to take, drink
tres;three
mano;hand
sentir;to feel, regret
gente;people
cuándo;when?
durante;during
hijo;son, [pl] children
tratar;to try, treat, deal with
vivir;to live
sino;but, except, rather
lugar;place, position
hacia;toward, towards
presidente;president
cual;which, who, whom
junto;together
luego;later, afterwards
cómo;how?
caso;case, occasion
mayor;larger, older, main
además;also, as well, besides
esperar;to wait, hope for, expect
nunca;never, ever
cierto;certain, sure, true
hora;hour, time (specific)
dónde;where?
padre;father
gustar;to be pleasing to
noche;night, evening
nosotros;we
casi;almost, nearly
hoy;today, nowadays
tipo;type, kind
ojo;eye
manera;way, manner
importante;important
contar;to tell, count
niño;child, little boy
trabajar;to work
empezar;to begin, start
verdad;truth
contra;against, opposite
buscar;to look for
ahí;there
solo;alone, only, just
fin;end
propio;own, proper, typical
gobierno;government
ejemplo;example
último;last, final, latest
punto;point, dot, period
antes;before
mil;thousand
existir;to exist
perder;to lose, miss
cuenta;bill, account
allí;there, over there
escribir;to write
cualquiera;any, anyone
grupo;group
señor;sir, Mr, lord
la historia;the history, the story
palabra;word
agua;water
realizar;to fulfill, carry out
nadie;nobody, anybody
entrar;to enter
arte;art, skill
leer;to read
amigo;friend
recordar;to remember, remind
morir;to die
único;only, unique, sole
lado;side
nombre;name, noun
recibir;to receive
permitir;to allow, permit
preguntar;to ask
social;social
sistema;system
segundo;second
ante;before, in the presence of
madre;mother
siglo;century, age
entender;to understand
cuatro;four
alto;tall, high
cuerpo;body
familia;family
comenzar;to begin, start
presentar;to introduce, present
bajo;under, underneath, low
según;according to
frente;front
crear;to create
la foto;the photo
el tema;the theme, the subject, the topic
el profesor;the professor
humano;human
pueblo;people, village
abrir;to open
idea;idea
sentar;to sit (down), seat
aún;still, yet
voz;voice
terminar;to finish, end
oír;to hear
cambiar;to change
ninguno;no, none, nobody
considerar;to consider
político;political
tierra;earth, land, ground
realidad;reality, actuality
cabeza;head
derecho;right, justice, law
mantener;to keep, maintain
utilizar;to use, utilize
calle;street
a través de;through, across
estado;state, condition, status
relación;relationship, relation
igual;same, equal
todavía;still, yet
puerta;door
gracias;thanks, thank you
escuchar;to listen to
guerra;war, warfare
amor;love
cinco;five
situación;situation
conseguir;to get, acquire, obtain
lograr;to achieve, manage
resultar;to result, turn out
luz;light
quién;who?, whom?
fuerza;strength, force, power
paso;step, pace
general;general
ocurrir;to happen, occur
aparecer;to appear
diferente;different, separate
muerte;death
ganar;to win, earn
estudio;study, research
nivel;level
proceso;process, procedure
fuera;out, outside, away
largo;long
semana;week
partido;party, group, (sports) match
acabar;to have just finished, to finish, to end
explicar;to explain
cuyo;whose
razón;reason
negro;black
bastante;rather, fairly, quite a bit
efecto;effect
servicio;service, helpfulness
formar;to form
económico;economic
servir;to serve
allá;there, over there
empresa;firm, company, venture
centro;center, middle, downtown
usar;to use
tras;after, behind
cambio;change
clase;kind, class, order
distinto;distinct, different
animal;animal
hecho;fact, happening
número;number
perro;dog
pez;fish
tortuga;turtle
caballo;horse
serpiente;snake
abeja;bee
pájaro;bird
cerdo;pig
sapo;toad
gato;cat
tigre;tiger
cabra;goat
ave;bird
lobo;wolf
mosquito;mosquito
león;lion
mono;monkey
rana;frog
toro;bull
oveja;sheep
pajarito;little bird
vaca;cow
gusano;worm
víbora;viper
insecto;insect
araña;spider
zorro;fox
gallo;rooster
oso;bear
ballena;whale
gallina;hen
hormiga;ant
grillo;cricket
paloma;dove
burro;donkey
cuervo;raven
mariposa;butterfly
conejo;rabbit
murciélago;bat
ratón;mouse
buey;ox
cisne;swan
mosca;fly
pato;duck
ganado;livestock
pollo;chicken
elefante;elephant
gaviota;seagull
rata;rat
águila;eagle
cabello;hair
vena;vein
nariz;nose
cadera;hip
cerebro;brain
ceja;eyebrow
cara;face
hueso;bone
bigote;mustache
pie;foot
rodilla;knee
pupila;pupil
boca;mouth
oreja;ear
entrañas;bowels
brazo;arm
estómago;stomach
cráneo;skull
corazón;heart
codo;elbow
sangre;blood
hígado;liver
lengua;tongue
garganta;throat
nalga;buttocks
dedo;finger, toe
mejilla;cheek
pestaña;eyelash
pierna;leg
uña;fingernail, toenail
riñón;kidney
pelo;hair
músculo;muscle
esqueleto;skeleton
espalda;back
cintura;waist
tobillo;ankle
pecho;chest
barba;beard
mandíbula;jaw
labio;lip
nervio;nerve
arteria;artery
hombro;shoulder
puño;fist
intestino;intestine
cuello;neck
pulmón;lung
pulgar;thumb
diente;tooth
muslo;thigh
retina;retina
dicho;aforementioned, said
información;information
tocar;to touch, play (instrument)
estudiar;to study
hermano;brother
público;public
ley;law, bill, rule
sentido;sense, feeling
incluso;including, even
principio;beginning, principle
programa;program, plan
música;music
traer;to bring, carry
campo;field, country
correr;to run
actividad;activity, action
quizás;perhaps, maybe
alguien;somebody, someone, anyone
acuerdo;accord, agreement
demás;the rest, others
siguiente;following, next
ofrecer;to offer, present
sociedad;society
levantar;to raise, lift
dios;god, divinity
jugar;to play (sport/game)
época;time, age, period
color;color
zona;area, zone
comprar;to buy
necesario;necessary
camino;road, route, path
dinero;money
final;finally, in the end, end
tampoco;neither, nor, either
decidir;to decide
desarrollo;development
movimiento;movement
alcanzar;to reach, catch up with
blanco;white
equipo;team, equipment, outfit
desarrollar;to develop
pronto;soon, quick
pagar;to pay
principal;main, principal
valor;value, worth
meter;to put (into)
realmente;really, actually, in fact
sol;sun
imagen;image, picture
cumplir;to fulfill
varios;several, various
universidad;university, college
interés;interest
el hospital;the hospital
mayoría;majority
continuar;to continue
modo;way, manner
ojalá;hopefully
reconocer;to recognize, admit
aire;air, wind, appearance
Tengo hambre; I’m hungry
Tengo sed; I’m thirsty
Tengo sueño; I’m sleepy
dirigir;to direct, manage
tarde;afternoon, evening
papel;paper, role, part
producto;product
medio;half, middle
mañana;morning, tomorrow
dormir;to sleep
acción;action, act, deed
establecer;to establish
seguro;safe, sure, secure
vista;view, sight
juego;game, play, sport
subir;to go up
intentar;to try, attempt
persecución;persecution
fondo;bottom, end
descubrir;to discover
Tengo frío; I’m cold
Tengo calor; I’m hot
Tengo 30 años; I am 30 years old
Tengo que trabajar; I have to work
Tengo prisa; I’m in a hurry
¿Qué hay?; What’s up?
No hay problema; No problem
Hay mucha gente; There are a lot of people
No hay de qué; You’re welcome
¿Hay algo más?; Is there anything else?
Ha sido un placer; It has been a pleasure
experiencia;experience
incluir;to include
condición;condition
edad;age
andar;to walk, function
mal;badly
