Words to Learn

Learned Words

The Rest
unsquared;не квадратный
woodenheaded;деревянный, тупой
maynt;не может, не вправе
stridelegs;длинноногий, шагающий широко
unweariedly;неутомимо
wheer;где
oaklike;дубовый
headforemost;головой вперед
truculently;агрессивно
agoing;в процессе
stumblingly;спотыкаясь
norard;на север
unsteered;неуправляемый
bloodguilty;виновный в убийстве, кровожадный
unbailed;невычерпанный
deadlight;иллюминатор с толстым стеклом
sailorly;морской, матросский
wots;знает
ajangle;звенящий, дребезжащий, раздраженный
pluckily;отважно, смело
seamanly;морской, матросский
teetotum;волчок, юла
unwearying;неутомимый
encrimson;окрасить в малиновый цвет
gallipot;аптечная банка, глиняный горшок для мазей
midleg;середина ноги
duskily;сумрачно, темно
ashiver;дрожащий, трясущийся
tallowy;сальный, жирный
handbarrow;ручная тачка
accurse;проклинать, предавать анафеме
rumpuncheon;большой бочонок рома
unsteadied;нестабильный
needlessness;ненужность
lillibullero;ирландская песня-марш 17 века
emboldener;тот, кто вдохновляет или ободряет
afterpart;задняя часть
truantry;прогул, уклонение от обязанностей
rosily;розово
mistily;туманно
cannikin;кружка, маленькая банка (особенно для алкоголя), небольшой сосуд
blear;слезиться, мутный
musingly;задумчиво, размышляя
spiling;установка свай, шпунтовое ограждение, просачивание
stoutish;крепкий, плотный
messmate;товарищ по обеду
disaffect;вызывать недовольство, отчуждать, настраивать против
supervene;последовать, наступить неожиданно, присоединиться
steepen;стать круче
bulrush;камыш, рогоз
contrariety;противоречие, противоположность
trebly;втройне, в три раза, трехголосно
hawse;якорная цепь, клюз (отверстие для якорной цепи), пространство перед носом судна
grogshop;питейное заведение
besieger;осаждающий
impend;нависать, угрожать, предстоять
volubly;бойко, многословно
overbold;слишком дерзкий
younker;юноша, молодой матрос
pignut;земляной орех, свиной орех, арахис
hisn;его (диалектное, разговорное)
openhanded;щедрый
comeliness;привлекательность
workpeople;рабочие
circumspectly;осмотрительно
pannikin;кружка, маленькая металлическая миска, котелок
shoreward;к берегу
tottery;шаткий, неустойчивый, дрожащий
lection;чтение, вариант текста, урок
rudiment;основа, элемент, зачаток
imprecation;проклятие, ругательство
backstay;ахтерштаг (в морском деле)
warnt;не был
miry;грязный, илистый, топкий
dolefully;печально
agone;давно, прошедший
howsomever;однако (диалектная форма "however")
daddle;медлить, тратить время впустую, нянчиться
easting;движение на восток, восточная составляющая, восточное отклонение
shoreside;береговая линия, прибрежная зона, находящийся на берегу
hummock;холмик, бугор, торосистый лед
hoarfrost;иней
handspike;рукоятка, вымбовка (рычаг для поворота орудий)
volubility;бойкость, разговорчивость, словоохотливость
pestiferous;заразный, вредный, надоедливый
drub;бить, колотить, разгромить
overhung;нависший
supercargo;суперкарго (представитель грузовладельца на судне)
southard;на юг (морской жаргон, сокращение от "southward")
chickenhearted;трусливый
huzza;ура (восклицание), приветствовать возгласами
severally;по отдельности, порознь, каждый в отдельности
marish;болотистый, заболоченный, топкий
disquietude;беспокойство, тревога
fourpenny;четырехпенсовый, дешевый, незначительный
fleabite;укус блохи, пустяк, мелочь
elate;воодушевлять, поднимать настроение, окрылять
musketry;мушкетный огонь, стрельба из ручного огнестрельного оружия
unlooked;неожиданный, непредвиденный, нежеланный
bandoleer;бандольер (перевязь для патронов), патронташ
softheaded;слабоумный, наивный, простодушный, легковерный
coltish;игривый, резвый, необузданный
bumboat;лодка торговца припасами, шаланда
enow;достаточно (устаревшее, диалектное)
exclamatory;восклицательный, выражающий восклицание
raggedness;оборванность, неровность, неряшливость
steepness;крутизна, крутой подъем, резкость
liker;более похожий, вероятнее, более вероятный
blackhearted;черствый, злой, коварный
irresolute;нерешительный, колеблющийся
becalm;остановить, успокоить (о ветре), оказаться в штиле
nimbleness;проворство, ловкость, быстрота
ringlet;локон, завиток, колечко
unprovided;неподготовленный, необеспеченный, незащищенный
impulsion;побуждение, импульс, толчок
gunwale;планшир (верхний край борта судна), привальный брус
infallibly;непогрешимо, безошибочно
sourly;кисло, угрюмо, раздраженно
tatter;лохмотья, обрывок, изнашивать
fiddlestick;скрипичный смычок, чепуха, вздор
singlehanded;в одиночку, самостоятельно, одной рукой
cordage;веревки, такелаж, канаты
environ;окружать, обступать, окрестности
superintend;надзирать, руководить, заведовать
roughen;делать шероховатым, огрублять, становиться неровным
manlike;мужественно, по-мужски, подобно мужчине
dilapidation;разрушение, обветшание, ветхость
dogwatch;собачья вахта (короткая вахта между 16 и 20 часами на корабле)
beggarman;нищий, попрошайка, бедняк
apologetically;извиняюще, оправдываясь
blandly;мягко, вежливо, бесстрастно
adjoin;примыкать, граничить, присоединять
confoundedly;чертовски, ужасно
coracle;коракл (круглая лодка из кожи), челнок
streamlet;ручеек, маленький поток, речушка
broadcloth;сукно, тонкое сукно, широкое сукно
quaver;дрожать, вибрировать (о голосе), трель
largeness;величина, размер, великодушие
